device,value
iPhone 14 Pro Max,630
iPhone 14 Pro, 520
iPhone 14 Plus, 420
iPhone 14, 370
iPhone SE (3rd generation), 160
iPhone 13 Pro Max, 450
iPhone 13 Pro, 370
iPhone 13, 300
iPhone 13 mini,270
iPhone 12 Pro Max,350
iPhone 12 Pro,270
iPhone 12,200
iPhone 12 mini,170
iPhone SE (2nd generation),80
iPhone 11 Pro Max,270
iPhone 11 Pro,220
iPhone 11,170
iPhone XS Max,150
iPhone XS,110
iPhone XR,110
iPhone X,100
iPhone 8 Plus,80
iPhone 8,50
iPhone 7 Plus,50
