listing_title,tradein_title,listing_price,tradein_value,difference,location,url
iphone 14 plus,iPhone 14,750.0,370,-380.0,"Pueblo, CO",https://www.facebook.com/marketplace/item/746295310910154/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
Apple IPhone 12 Pro Max unlocked/liberado,iPhone 12,575.0,200,-375.0,"Denver, CO",https://www.facebook.com/marketplace/item/999369855151885/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
UNLOCKED APPLE IPHONE 13 PRO MAX 128GB ANY CARRIER,iPhone 13,675.0,300,-375.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/427009566808718/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
UNLOCKED APPLE IPHONE 13 PRO MAX 128GB,iPhone 13,675.0,300,-375.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/842451611122069/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
iphone 14,iPhone 14,735.0,370,-365.0,"United States Air Force Academy, CO",https://www.facebook.com/marketplace/item/878280510574042/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
vendo iphone 13 PRO MAX 😍nuevo !,iPhone 13,650.0,300,-350.0,"Aurora, CO",https://www.facebook.com/marketplace/item/465273026189456/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
Apple iphone 13 Pro Max 128gb - light blue (Unlocked),iPhone 13,650.0,300,-350.0,"Denver, CO",https://www.facebook.com/marketplace/item/930657372149923/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
iPhone 12 Pro Max 256gb,iPhone 12,550.0,200,-350.0,"Aurora, CO",https://www.facebook.com/marketplace/item/2900730206735449/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
Apple iPhone 12 Pro Max - 128GB - Silver (Unlocked) - EXCELLENT CONDITION,iPhone 12,550.0,200,-350.0,"Denver, CO",https://www.facebook.com/marketplace/item/765037692478642/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
iPhone 12 Pro Max,iPhone 12 Pro Max,700.0,350,-350.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/1411488532820422/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
Apple Iphone 13 Pro Max Unlocked/Liberado,iPhone 13,645.0,300,-345.0,"Denver, CO",https://www.facebook.com/marketplace/item/1555124882002659/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
UNLOCKED IPHONE 12 PRO MAX WHITE - 128gb,iPhone 12,540.0,200,-340.0,"Denver, CO",https://www.facebook.com/marketplace/item/839072108070087/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
IPhone 13 pro Max Gold unlocked,iPhone 13,640.0,300,-340.0,"Denver, CO",https://www.facebook.com/marketplace/item/1391273631588299/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
White Iphone 12 pro Max 128gb - Unlocked,iPhone 12,540.0,200,-340.0,"Denver, CO",https://www.facebook.com/marketplace/item/304938412687481/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
Gold Iphone 12 pro max 128gb - UNLOCKED,iPhone 12,540.0,200,-340.0,"Denver, CO",https://www.facebook.com/marketplace/item/461024563242591/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
IPHONE 12 PRO MAX 128gb White - UNLOCKED,iPhone 12,540.0,200,-340.0,"Denver, CO",https://www.facebook.com/marketplace/item/26200777612902444/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
iphone 14 plus,iPhone 14 Plus,750.0,420,-330.0,"Pueblo, CO",https://www.facebook.com/marketplace/item/746295310910154/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
