listing_title,tradein_title,listing_price,tradein_value,difference,location,url
Apple iPhone 12 Pro Max 128gb gold - (line in screen),iPhone 12,450.0,200,-250.0,"Denver, CO",https://www.facebook.com/marketplace/item/895331192356552/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
iPhone 13 Pro Max,iPhone 13,550.0,300,-250.0,"Westminster, CO",https://www.facebook.com/marketplace/item/750952730491482/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
iPhone 13 Pro Max 512 GB great condition,iPhone 13,550.0,300,-250.0,"Fort Collins, CO",https://www.facebook.com/marketplace/item/1189918332024103/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
Unlocked iPhone 13 Pro 256gb Green,iPhone 13 Pro,620.0,370,-250.0,"Denver, CO",https://www.facebook.com/marketplace/item/1653172948860798/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
Like new iPhone 12 white,iPhone 12,450.0,200,-250.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/449206501060840/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
iPhone 13 Pro,iPhone 13,550.0,300,-250.0,"Greeley, CO",https://www.facebook.com/marketplace/item/419327381017641/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
IPHONE 13 PRO MAX GRAY $550,iPhone 13,550.0,300,-250.0,"Denver, CO",https://www.facebook.com/marketplace/item/761925349463791/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
iPhone 12 Pro Max 256Gigs,iPhone 12 Pro,520.0,270,-250.0,"Denver, CO",https://www.facebook.com/marketplace/item/1695484351259303/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
Unlocked iPhone 12 Pro Max 128gb Gold,iPhone 12,450.0,200,-250.0,"Denver, CO",https://www.facebook.com/marketplace/item/1145608376690458/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
Unlocked iPhone 13 Pro 256gb White,iPhone 13 Pro,620.0,370,-250.0,"Denver, CO",https://www.facebook.com/marketplace/item/1200018327935959/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
Cracked Iphone 12 pro max white - 256gb,iPhone 12,450.0,200,-250.0,"Denver, CO",https://www.facebook.com/marketplace/item/330592509934231/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
128GB iPhone 13 Pro Max - UNLOCKED,iPhone 13,550.0,300,-250.0,"Denver, CO",https://www.facebook.com/marketplace/item/479557767936601/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
Unlocked iPhone 12 Pro Max 128gb Gold,iPhone 12 Pro,520.0,270,-250.0,"Denver, CO",https://www.facebook.com/marketplace/item/473979068352947/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
IPhone 11 Pro Max - PAYMENT PLANS AVAILABLE,iPhone 11 Pro,469.0,220,-249.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/368834976178116/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
IPHONE XS MAX 256GB - $50 DOWN,iPhone X,349.0,100,-249.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/1012697527039160/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
iPhone 13 Pro 256g Excellent Condition,iPhone 13,540.0,300,-240.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/330498153277581/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
IPHONE XS MAX 256GB - $50 DOWN,iPhone XS,349.0,110,-239.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/1012697527039160/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
Apple iPhone 11 Pro Max 256gb space grey - unlocked,iPhone 11 Pro,450.0,220,-230.0,"Denver, CO",https://www.facebook.com/marketplace/item/1525114921378038/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
Unlocked iPhone 11 Pro Max 512gb Matte Green,iPhone 11 Pro Max,500.0,270,-230.0,"Denver, CO",https://www.facebook.com/marketplace/item/376883008706910/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
iPhone 11 Pro Max 265gb,iPhone 11 Pro,450.0,220,-230.0,"Aurora, CO",https://www.facebook.com/marketplace/item/1818491351969247/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
GOLD IPHONE 13 PRO 128gb - UNLOCKED,iPhone 13 Pro,600.0,370,-230.0,"Denver, CO",https://www.facebook.com/marketplace/item/457627893569618/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
Apple iPhone 11 Pro Max 512gb white - unlocked,iPhone 11 Pro Max,500.0,270,-230.0,"Denver, CO",https://www.facebook.com/marketplace/item/974053014212986/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
"iPhone 12 - erased, great condition!! Mint green Central Park",iPhone 12,430.0,200,-230.0,"Denver, CO",https://www.facebook.com/marketplace/item/1151846482770029/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
iPhone 12 Pro Max (Gold/256GB/Unlocked,iPhone 12 Pro,500.0,270,-230.0,"Denver, CO",https://www.facebook.com/marketplace/item/732040562461510/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
iPhone 14 Plus,iPhone 14,600.0,370,-230.0,"Denver, CO",https://www.facebook.com/marketplace/item/1145682036708418/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
Iphone 12 Pro Max,iPhone 12 Pro,500.0,270,-230.0,"Denver, CO",https://www.facebook.com/marketplace/item/330974646688515/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
iPhone 11 Pro Max 256G,iPhone 11,400.0,170,-230.0,"Parker, CO",https://www.facebook.com/marketplace/item/1475250276748722/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
iPhone 11 Pro Unlocked + Screen Protectors,iPhone 11,400.0,170,-230.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/1676764036400725/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
iPhone 13 pro 128gb unlocked,iPhone 13,530.0,300,-230.0,"Denver, CO",https://www.facebook.com/marketplace/item/402022072827057/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
Iphone 12 mini,iPhone 12 mini,400.0,170,-230.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/983286219681063/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
512gb Iphone 12 pro max - matte blue (Unlocked),iPhone 12 Pro Max,580.0,350,-230.0,"Denver, CO",https://www.facebook.com/marketplace/item/860296929473309/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
Like new iPhone 13 Pro 128 GB,iPhone 13 Pro,600.0,370,-230.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/2244857695845646/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
iphone 12 pro max 128/256/512,iPhone 12 Pro,500.0,270,-230.0,"Aurora, CO",https://www.facebook.com/marketplace/item/881472227150745/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
iPhone 11 Pro Max matte green - unlocked,iPhone 11,400.0,170,-230.0,"Denver, CO",https://www.facebook.com/marketplace/item/724700599650703/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
iPhone 12 Pro Max,iPhone 12 Pro,500.0,270,-230.0,"Denver, CO",https://www.facebook.com/marketplace/item/2164881467193468/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
iPhone 13 Pro Max 512GB Unlocked,iPhone 13,525.0,300,-225.0,"Westminster, CO",https://www.facebook.com/marketplace/item/754083816894067/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
UNLOCKED APPLE IPHONE 13 PRO MAX 128GB,iPhone 13 Pro Max,675.0,450,-225.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/842451611122069/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
Apple IPhone 12 Pro Max unlocked/liberado,iPhone 12 Pro Max,575.0,350,-225.0,"Denver, CO",https://www.facebook.com/marketplace/item/999369855151885/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
iPhone 13 Pro Max 512GB Unlocked,iPhone 13,525.0,300,-225.0,"Thornton, CO",https://www.facebook.com/marketplace/item/487406970303183/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
iPhone 13 Pro Max 512GB Unlocked,iPhone 13,525.0,300,-225.0,"Denver, CO",https://www.facebook.com/marketplace/item/483526260827332/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
iPhone 13 Pro Max 512GB Unlocked,iPhone 13,525.0,300,-225.0,"Broomfield, CO",https://www.facebook.com/marketplace/item/1219931622338209/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
UNLOCKED APPLE IPHONE 13 PRO MAX 128GB ANY CARRIER,iPhone 13 Pro Max,675.0,450,-225.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/427009566808718/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
iPhone 13 Pro Max 256GB Unlocked,iPhone 13,520.0,300,-220.0,"Denver, CO",https://www.facebook.com/marketplace/item/1803036963535755/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
iPhone 13 Pro Max 256GB Unlocked,iPhone 13,520.0,300,-220.0,"Thornton, CO",https://www.facebook.com/marketplace/item/908589461021820/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
iPhone 13 Pro Max 256GB Unlocked,iPhone 13,520.0,300,-220.0,"Denver, CO",https://www.facebook.com/marketplace/item/1069317524763334/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
iPhone 13 Pro Max 256GB Unlocked,iPhone 13,520.0,300,-220.0,"Denver, CO",https://www.facebook.com/marketplace/item/7365653696879925/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
Unlocked iPhone 13 Pro 128gb Gold,iPhone 13 Pro,580.0,370,-210.0,"Denver, CO",https://www.facebook.com/marketplace/item/3496754243803965/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
Unlocked iPhone 13 Pro 128gb Blue,iPhone 13 Pro,580.0,370,-210.0,"Denver, CO",https://www.facebook.com/marketplace/item/997878107940367/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
Unlocked iPhone 13 Pro 128gb Gold,iPhone 13 Pro,580.0,370,-210.0,"Denver, CO",https://www.facebook.com/marketplace/item/1106334250441274/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
Unlocked iPhone 13 Pro Max 256gb Light Blue,iPhone 13 Pro,580.0,370,-210.0,"Denver, CO",https://www.facebook.com/marketplace/item/680725544188172/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
unlocked iphone 13 pro max 256gb (cracked),iPhone 13 Pro,580.0,370,-210.0,"Denver, CO",https://www.facebook.com/marketplace/item/999947538229915/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
Unlocked iPhone 13 Pro 128gb Light Blue,iPhone 13 Pro,580.0,370,-210.0,"Denver, CO",https://www.facebook.com/marketplace/item/1665917154174987/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
Iphone 12 Pro 256gb,iPhone 12 Pro,480.0,270,-210.0,"Parker, CO",https://www.facebook.com/marketplace/item/1098348324725093/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
Apple Iphone 12 pro max unlcoked/Liberado,iPhone 12 Pro,475.0,270,-205.0,"Denver, CO",https://www.facebook.com/marketplace/item/1700534133813672/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
Nice IPhone 11 Pro,iPhone 11,375.0,170,-205.0,"Denver, CO",https://www.facebook.com/marketplace/item/993904629407285/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
Apple Iphone 14 plus Unlock/Liberado,iPhone 14,575.0,370,-205.0,"Denver, CO",https://www.facebook.com/marketplace/item/963342625290423/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
iPhone 12 Pro Max 128gb Gray Carrier Unlocked READ,iPhone 12,400.0,200,-200.0,"Denver, CO",https://www.facebook.com/marketplace/item/782256960691917/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
Iphone 12 mini,iPhone 12,400.0,200,-200.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/983286219681063/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
iPhone 13 Pro Max 128GB Unlocked,iPhone 13,500.0,300,-200.0,"Denver, CO",https://www.facebook.com/marketplace/item/1836063830230936/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
Apple iPhone 12 NEW,iPhone 12,400.0,200,-200.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/1006808864293600/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
Apple iPhone 12 Pro Max - 128GB - Silver (Unlocked) - EXCELLENT CONDITION,iPhone 12 Pro Max,550.0,350,-200.0,"Denver, CO",https://www.facebook.com/marketplace/item/765037692478642/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
vendo iphone 13 PRO MAX 😍nuevo !,iPhone 13 Pro Max,650.0,450,-200.0,"Aurora, CO",https://www.facebook.com/marketplace/item/465273026189456/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
iPhone 13 Pro Max 128GB Unlocked,iPhone 13,500.0,300,-200.0,"Denver, CO",https://www.facebook.com/marketplace/item/1419997705372338/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
UNLOCKED APPLE IPHONE 12 PRO 128GB,iPhone 12,400.0,200,-200.0,"Aurora, CO",https://www.facebook.com/marketplace/item/423897273846241/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
Green iPhone 13 Pro Max,iPhone 13,500.0,300,-200.0,"Aurora, CO",https://www.facebook.com/marketplace/item/1111076643257955/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
Apple iphone 13 Pro Max 128gb - light blue (Unlocked),iPhone 13 Pro Max,650.0,450,-200.0,"Denver, CO",https://www.facebook.com/marketplace/item/930657372149923/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
IPHONE 13 with charger! 256gb!,iPhone 13,500.0,300,-200.0,"Littleton, CO",https://www.facebook.com/marketplace/item/1472289733641900/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
512GB FACTORY UNLOCKED IPHONE 13 - WHITE,iPhone 13,500.0,300,-200.0,"Denver, CO",https://www.facebook.com/marketplace/item/7368642546580434/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
iPhone 13 Pro 128GB Unlocked,iPhone 13,500.0,300,-200.0,"Denver, CO",https://www.facebook.com/marketplace/item/830914445562644/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
iPhone 13 Pro Max AT&T,iPhone 13,500.0,300,-200.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/1838793046568093/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
VERIZON iPhone 13 Pro - 128Gb - Graphite,iPhone 13,500.0,300,-200.0,"Peyton, CO",https://www.facebook.com/marketplace/item/335132909614132/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
iPhone 13 Pro Max (Camera cover broken),iPhone 13,500.0,300,-200.0,"Aurora, CO",https://www.facebook.com/marketplace/item/868476918411325/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
Iphone 12 Pro Max,iPhone 12,400.0,200,-200.0,"Franktown, CO",https://www.facebook.com/marketplace/item/811185033923487/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
iPhone 13 Pro Graphite 128GB,iPhone 13,500.0,300,-200.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/776817697508281/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
Iphone 13,iPhone 13,500.0,300,-200.0,"Wheat Ridge, CO",https://www.facebook.com/marketplace/item/1236757671067669/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
iPhone 13 Pro Max de 128 GB y 85% de estado de batería,iPhone 13,500.0,300,-200.0,"Fort Lupton, CO",https://www.facebook.com/marketplace/item/320018717818624/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
iPhone 13 Pro,iPhone 13,500.0,300,-200.0,"Pueblo, CO",https://www.facebook.com/marketplace/item/1158023701992186/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
Apple iPhone 12 Pro Max,iPhone 12,400.0,200,-200.0,"Aurora, CO",https://www.facebook.com/marketplace/item/473387201917307/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
Like new iPhone 12 Pro Max 128gb unlocked. Can be used worldwide!!,iPhone 12,400.0,200,-200.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/862438169054005/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
iPhone 12 Pro Max 256 GB (Verizon),iPhone 12,400.0,200,-200.0,"Fort Collins, CO",https://www.facebook.com/marketplace/item/1143943903518468/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
iPhone 12 Pro Max 256gb,iPhone 12 Pro Max,550.0,350,-200.0,"Aurora, CO",https://www.facebook.com/marketplace/item/2900730206735449/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
iPhone 12,iPhone 12,400.0,200,-200.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/751010719696089/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
iPhone 13 Pro Max 128GB Unlocked,iPhone 13,500.0,300,-200.0,"Denver, CO",https://www.facebook.com/marketplace/item/7452363701557089/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
IPhone 13 - PAYMENT PLANS AVAILABLE,iPhone 13,499.0,300,-199.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/462248756141400/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
IPHONE 13 256GB $50 DOWN,iPhone 13,499.0,300,-199.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/1174717417050907/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
IPHONE XS MAX 256GB - $50 DOWN,iPhone XS Max,349.0,150,-199.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/1012697527039160/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
IPhone 11 Pro Max - PAYMENT PLANS AVAILABLE,iPhone 11 Pro Max,469.0,270,-199.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/368834976178116/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
Apple Iphone 13 Pro Max Unlocked/Liberado,iPhone 13 Pro Max,645.0,450,-195.0,"Denver, CO",https://www.facebook.com/marketplace/item/1555124882002659/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
IPhone 13 pro Max Gold unlocked,iPhone 13 Pro Max,640.0,450,-190.0,"Denver, CO",https://www.facebook.com/marketplace/item/1391273631588299/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
White Iphone 12 pro Max 128gb - Unlocked,iPhone 12 Pro Max,540.0,350,-190.0,"Denver, CO",https://www.facebook.com/marketplace/item/304938412687481/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
UNLOCKED IPHONE 12 PRO MAX WHITE - 128gb,iPhone 12 Pro Max,540.0,350,-190.0,"Denver, CO",https://www.facebook.com/marketplace/item/839072108070087/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
IPHONE 12 PRO MAX 128gb White - UNLOCKED,iPhone 12 Pro Max,540.0,350,-190.0,"Denver, CO",https://www.facebook.com/marketplace/item/26200777612902444/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
Gold Iphone 12 pro max 128gb - UNLOCKED,iPhone 12 Pro Max,540.0,350,-190.0,"Denver, CO",https://www.facebook.com/marketplace/item/461024563242591/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
IPhone 13 mini - PAYMENT PLANS AVAILABLE,iPhone 13 mini,459.0,270,-189.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/1466161877588514/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
IPhone 12 Pro - PAYMENT PLANS AVAILABLE,iPhone 12 Pro,459.0,270,-189.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/778725107685903/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4a46c779-0bbe-40aa-9f69-a527c73ab697&__tn__=!%3AD
