title,mileage,price,location,link,date_scraped
2007 Infiniti m35,180K miles,"$4,000","Phoenix, AZ",www.facebook.com/marketplace/item/1354115398743994/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2016 Chevrolet cruze LT Sedan 4D,102K miles,"$7,550","Phoenix, AZ",www.facebook.com/marketplace/item/3360908590822471/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2014 Hyundai veloster Coupe 3D,100K miles,"$5,500","Phoenix, AZ",www.facebook.com/marketplace/item/900095494369045/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2003 Mazda tribute LX Sport Utility 4D,116K miles,"$2,800","Phoenix, AZ",www.facebook.com/marketplace/item/100558109648605/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2003 Lexus es 300,132K miles,"$4,500","Phoenix, AZ",www.facebook.com/marketplace/item/523167803286960/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2004 Saturn ion 1 Sedan 4D,151K miles,"$2,500","Phoenix, AZ",www.facebook.com/marketplace/item/5767044730088921/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2006 Infiniti m series M35,140K miles,"$5,800","Phoenix, AZ",www.facebook.com/marketplace/item/1143953566278665/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2014 Chevrolet cruze LT Sedan 4D,70K miles,"$5,000","Phoenix, AZ",www.facebook.com/marketplace/item/1365044130703312/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2010 Chevrolet camaro LT Coupe 2D,160K miles,"$4,500","Phoenix, AZ",www.facebook.com/marketplace/item/771318003982583/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2013 Ford fusion SE Sedan 4D,173K miles,"$6,000","Phoenix, AZ",www.facebook.com/marketplace/item/3443436842537682/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2010 Hyundai elantra,190K miles,"$3,250","Phoenix, AZ",www.facebook.com/marketplace/item/1381556625935891/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2019 Honda accord EX Sedan 4D,74K miles,"$8,500","Phoenix, AZ",www.facebook.com/marketplace/item/1551856425316828/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2013 Chevrolet malibu LT Sedan 4D,150K miles,"$6,500","Phoenix, AZ",www.facebook.com/marketplace/item/508549804786499/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2008 Chrysler pt cruiser Limited Sport Wagon 4D,126K miles,"$2,800","Phoenix, AZ",www.facebook.com/marketplace/item/747013963611034/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2004 Cadillac cts Base,100K miles,"$3,500","Phoenix, AZ",www.facebook.com/marketplace/item/2358398867668372/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2014 Honda civic LX Sedan 4D,137K miles,"$8,700","Scottsdale, AZ",www.facebook.com/marketplace/item/747433160296854/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2006 Nissan altima 2.5 S Sedan 4D,155K miles,"$3,700","Phoenix, AZ",www.facebook.com/marketplace/item/727604549026155/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2010 Nissan altima 2.5 S Sedan 4D,113K miles,"$3,500","Phoenix, AZ",www.facebook.com/marketplace/item/755118899336907/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2011 Chrysler 200,150K miles,"$3,500","Phoenix, AZ",www.facebook.com/marketplace/item/5771488479616333/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2009 Audi a3 2.0T Wagon 4D,126K miles,"$2,400","Phoenix, AZ",www.facebook.com/marketplace/item/1187607618558861/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2003 Nissan 350z Touring Coupe 2D,68K miles,"$8,550","Phoenix, AZ",www.facebook.com/marketplace/item/856855182042283/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2008 Mazda mazda5,120K miles,"$5,000","Phoenix, AZ",www.facebook.com/marketplace/item/194716983242985/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2018 Ford mustang GT Premium Coupe 2D,16K miles,"$8,000","Phoenix, AZ",www.facebook.com/marketplace/item/884005569533319/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2012 Volkswagen passat 2.5L SEL Sedan 4D,150K miles,"$5,500","Phoenix, AZ",www.facebook.com/marketplace/item/728873172126017/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2005 Land Rover range rover HSE Sport Utility 4D,150K miles · Dealership,"$4,500","Phoenix, AZ",www.facebook.com/marketplace/item/1246490949634902/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2000 Mercedes-Benz clk-class,230K miles,"$3,000","Phoenix, AZ",www.facebook.com/marketplace/item/1237493323565111/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2016 Ford explorer Platinum Sport Utility 4D,140K miles,"$9,900","Phoenix, AZ",www.facebook.com/marketplace/item/170007315359174/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2011 Jeep grand cherokee Laredo Sport Utility 4D,150K miles,"$8,500","Phoenix, AZ",www.facebook.com/marketplace/item/1369613236912448/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2010 Cadillac CTS-V Sedan 4D,154K miles,"$1,700","Phoenix, AZ",www.facebook.com/marketplace/item/3486140394962692/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
