title,mileage,price,location,link,date_scraped
2013 Nissan leaf SL Hatchback 4D,113K miles,"$3,240","Queen Creek, AZ",www.facebook.com/marketplace/item/893788948317499/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A083b1a4e-8d31-4c97-bc7f-ce2971a9f97f&__tn__=!%3AD,2023-02-27
2010 Nissan altima 2.5 S Sedan 4D,123K miles,"$5,500","Peoria, AZ",www.facebook.com/marketplace/item/601791618367756/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A083b1a4e-8d31-4c97-bc7f-ce2971a9f97f&__tn__=!%3AD,2023-02-27
2018 Nissan altima 2.5 SV Sedan 4D,50K miles,"$1,000","Phoenix, AZ",www.facebook.com/marketplace/item/486674256504724/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A083b1a4e-8d31-4c97-bc7f-ce2971a9f97f&__tn__=!%3AD,2023-02-27
2014 Dodge durango SXT Sport Utility 4D,50K miles,"$1,000","Phoenix, AZ",www.facebook.com/marketplace/item/571355317910735/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A083b1a4e-8d31-4c97-bc7f-ce2971a9f97f&__tn__=!%3AD,2023-02-27
2018 Nissan altima 2.5 S Sedan 4D,50K miles,"$2,000","Phoenix, AZ",www.facebook.com/marketplace/item/500155695389026/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A083b1a4e-8d31-4c97-bc7f-ce2971a9f97f&__tn__=!%3AD,2023-02-27
2001 Honda accord,227K miles,"$2,900","Phoenix, AZ",www.facebook.com/marketplace/item/727729922159284/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A083b1a4e-8d31-4c97-bc7f-ce2971a9f97f&__tn__=!%3AD,2023-02-27
2006 Nissan altima,175K miles,"$2,500","Tucson, AZ",www.facebook.com/marketplace/item/1277039499796949/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A083b1a4e-8d31-4c97-bc7f-ce2971a9f97f&__tn__=!%3AD,2023-02-27
2017 Kia forte,50K miles,"$1,500","Phoenix, AZ",www.facebook.com/marketplace/item/1611963872597282/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A083b1a4e-8d31-4c97-bc7f-ce2971a9f97f&__tn__=!%3AD,2023-02-27
2011 Chevrolet impala LTZ Sedan 4D,120K miles,"$6,600","Phoenix, AZ",www.facebook.com/marketplace/item/157181443793948/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A083b1a4e-8d31-4c97-bc7f-ce2971a9f97f&__tn__=!%3AD,2023-02-27
2023 Toyota venza LE,300 miles,"$29,314","Phoenix, AZ",www.facebook.com/marketplace/item/8536620296412019/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A083b1a4e-8d31-4c97-bc7f-ce2971a9f97f&__tn__=!%3AD,2023-02-27
2009 Ford fusion,170K miles,"$3,400","Phoenix, AZ",www.facebook.com/marketplace/item/686849489906010/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A083b1a4e-8d31-4c97-bc7f-ce2971a9f97f&__tn__=!%3AD,2023-02-27
2019 Kia Soul,50K miles,"$2,000","Phoenix, AZ",www.facebook.com/marketplace/item/866846197905177/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A083b1a4e-8d31-4c97-bc7f-ce2971a9f97f&__tn__=!%3AD,2023-02-27
2004 Honda accord DX Sedan 4D,19K miles,"$4,000","Phoenix, AZ",www.facebook.com/marketplace/item/887716035777805/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A083b1a4e-8d31-4c97-bc7f-ce2971a9f97f&__tn__=!%3AD,2023-02-27
2017 Chevrolet malibu,50K miles,"$2,000","Phoenix, AZ",www.facebook.com/marketplace/item/753852575913213/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A083b1a4e-8d31-4c97-bc7f-ce2971a9f97f&__tn__=!%3AD,2023-02-27
2015 Kia forte,100K miles,"$1,000","Phoenix, AZ",www.facebook.com/marketplace/item/826066695081923/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A083b1a4e-8d31-4c97-bc7f-ce2971a9f97f&__tn__=!%3AD,2023-02-27
2016 Nissan maxima,100K miles,"$1,000","Phoenix, AZ",www.facebook.com/marketplace/item/619523639885226/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A083b1a4e-8d31-4c97-bc7f-ce2971a9f97f&__tn__=!%3AD,2023-02-27
2001 Chevrolet malibu,147K miles,"$2,850","Avondale, AZ",www.facebook.com/marketplace/item/689462566035936/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A6e09bca0-1f2c-4ea9-846f-b59a6f4ac038&__tn__=!%3AD,2023-02-27
2001 Honda accord DX Sedan 4D,214K miles,"$2,499","Phoenix, AZ",www.facebook.com/marketplace/item/586957006631105/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A6e09bca0-1f2c-4ea9-846f-b59a6f4ac038&__tn__=!%3AD,2023-02-27
2015 Nissan altima 2.5 Sedan 4D,70K miles,"$7,900","Phoenix, AZ",www.facebook.com/marketplace/item/6312141268847402/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A6e09bca0-1f2c-4ea9-846f-b59a6f4ac038&__tn__=!%3AD,2023-02-27
2010 Kia optima LX Sedan 4D,117K miles,"$5,200","Phoenix, AZ",www.facebook.com/marketplace/item/1259359527980225/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A6e09bca0-1f2c-4ea9-846f-b59a6f4ac038&__tn__=!%3AD,2023-02-27
2018 Ford fusion,50K miles,"$2,000","Phoenix, AZ",www.facebook.com/marketplace/item/3338675973113752/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A6e09bca0-1f2c-4ea9-846f-b59a6f4ac038&__tn__=!%3AD,2023-02-27
2007 Hyundai sonata GLS Sedan 4D,118K miles,"$4,250","Phoenix, AZ",www.facebook.com/marketplace/item/2431546853690350/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A6e09bca0-1f2c-4ea9-846f-b59a6f4ac038&__tn__=!%3AD,2023-02-27
2018 Nissan altima 2.5 S Sedan 4D,50K miles,"$1,800","Phoenix, AZ",www.facebook.com/marketplace/item/911007083357857/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A6e09bca0-1f2c-4ea9-846f-b59a6f4ac038&__tn__=!%3AD,2023-02-27
2015 Nissan altima 2.5 SV Sedan 4D,179K miles,"$5,500","Phoenix, AZ",www.facebook.com/marketplace/item/692921089279890/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A6e09bca0-1f2c-4ea9-846f-b59a6f4ac038&__tn__=!%3AD,2023-02-27
1999 Toyota camry,229K miles,"$2,200","Phoenix, AZ",www.facebook.com/marketplace/item/501531045480277/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A6e09bca0-1f2c-4ea9-846f-b59a6f4ac038&__tn__=!%3AD,2023-02-27
2016 Nissan rogue,50K miles,"$2,000","Phoenix, AZ",www.facebook.com/marketplace/item/3426316064293903/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A6e09bca0-1f2c-4ea9-846f-b59a6f4ac038&__tn__=!%3AD,2023-02-27
2010 Ford mustang,99K miles,"$8,975","Phoenix, AZ",www.facebook.com/marketplace/item/549928010448363/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A6e09bca0-1f2c-4ea9-846f-b59a6f4ac038&__tn__=!%3AD,2023-02-27
2013 Cadillac ats 2.0L Turbo Luxury Sedan 4D,214K miles,"$5,000","Hattiesburg, MS",www.facebook.com/marketplace/item/2309656262545649/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A0865c944-661a-4d9a-8dbe-b45648d078e1&__tn__=!%3AD,2023-02-27
2003 Pontiac grand am,3.1K miles,"$2,500","Hattiesburg, MS",www.facebook.com/marketplace/item/891966808778300/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A0865c944-661a-4d9a-8dbe-b45648d078e1&__tn__=!%3AD,2023-02-27
2001 Nissan sentra,10K miles,"$2,000","Richton, MS",www.facebook.com/marketplace/item/732091841611618/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A0865c944-661a-4d9a-8dbe-b45648d078e1&__tn__=!%3AD,2023-02-27
2011 Chrysler 200 Touring Sedan 4D,157K miles,"$4,500","Collins, MS",www.facebook.com/marketplace/item/147416104854927/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A0865c944-661a-4d9a-8dbe-b45648d078e1&__tn__=!%3AD,2023-02-27
2012 Chevrolet malibu LS Sedan 4D,20K miles,"$3,600","Wiggins, MS",www.facebook.com/marketplace/item/733227688208389/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A0865c944-661a-4d9a-8dbe-b45648d078e1&__tn__=!%3AD,2023-02-27
2010 Nissan altima,136K miles,"$6,200","Petal, MS",www.facebook.com/marketplace/item/884997989414833/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A0865c944-661a-4d9a-8dbe-b45648d078e1&__tn__=!%3AD,2023-02-27
2013 Nissan altima 2.5 S Sedan 4D,130K miles,"$7,500","Petal, MS",www.facebook.com/marketplace/item/599364738715468/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A0865c944-661a-4d9a-8dbe-b45648d078e1&__tn__=!%3AD,2023-02-27
2003 Honda civic LX Coupe 2D,239K miles,"$2,700","Purvis, MS",www.facebook.com/marketplace/item/1155442615151601/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A0865c944-661a-4d9a-8dbe-b45648d078e1&__tn__=!%3AD,2023-02-27
2003 BMW series 3,151K miles,"$4,000","Hattiesburg, MS",www.facebook.com/marketplace/item/675752530627690/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A0865c944-661a-4d9a-8dbe-b45648d078e1&__tn__=!%3AD,2023-02-27
2006 Chevrolet malibu LS Sedan 4D,101K miles,"$3,200","Laurel, MS",www.facebook.com/marketplace/item/693899619123520/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A0865c944-661a-4d9a-8dbe-b45648d078e1&__tn__=!%3AD,2023-02-27
2003 Ford mustang GT Deluxe Coupe 2D,180K miles,"$1,200","Hattiesburg, MS",www.facebook.com/marketplace/item/841890573546986/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A0865c944-661a-4d9a-8dbe-b45648d078e1&__tn__=!%3AD,2023-02-27
1996 Ford mustang GT Coupe 2D,1M miles,"$1,000","Hattiesburg, MS",www.facebook.com/marketplace/item/585227180134728/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A0865c944-661a-4d9a-8dbe-b45648d078e1&__tn__=!%3AD,2023-02-27
2006 Nissan maxima SL Sedan 4D,188K miles,"$3,000","Ellisville, MS",www.facebook.com/marketplace/item/1310810216367733/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A0865c944-661a-4d9a-8dbe-b45648d078e1&__tn__=!%3AD,2023-02-27
2012 nissan altima,,"$3,000","Laurel, MS",www.facebook.com/marketplace/item/1159049021473985/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A0865c944-661a-4d9a-8dbe-b45648d078e1&__tn__=!%3AD,2023-02-27
2009 Dodge charger,15K miles,"$1,500","Columbia, MS",www.facebook.com/marketplace/item/579505564036031/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A0865c944-661a-4d9a-8dbe-b45648d078e1&__tn__=!%3AD,2023-02-27
2008 Kia spectra EX Sedan 4D,277K miles,"$3,500","Hattiesburg, MS",www.facebook.com/marketplace/item/695137829009359/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A0865c944-661a-4d9a-8dbe-b45648d078e1&__tn__=!%3AD,2023-02-27
2007 Chevrolet impala LT Sedan 4D,197K miles,"$4,200","Collins, MS",www.facebook.com/marketplace/item/1259026438027041/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A0865c944-661a-4d9a-8dbe-b45648d078e1&__tn__=!%3AD,2023-02-27
2012 Nissan altima 2.5 S,152K miles,"$6,300","Laurel, MS",www.facebook.com/marketplace/item/1066581097645331/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A0865c944-661a-4d9a-8dbe-b45648d078e1&__tn__=!%3AD,2023-02-27
2003 Saturn l200,177K miles,"$2,800","Hattiesburg, MS",www.facebook.com/marketplace/item/708160204194354/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A0865c944-661a-4d9a-8dbe-b45648d078e1&__tn__=!%3AD,2023-02-27
2006 Ford explorer Limited Sport Utility 4D,200K miles,Free,"Hattiesburg, MS",www.facebook.com/marketplace/item/724344409277784/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A0865c944-661a-4d9a-8dbe-b45648d078e1&__tn__=!%3AD,2023-02-27
2006 GMC yukon Denali Sport Utility 4D,190K miles,"$3,500","Hattiesburg, MS",www.facebook.com/marketplace/item/935860377607975/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A0865c944-661a-4d9a-8dbe-b45648d078e1&__tn__=!%3AD,2023-02-27
2015 Chevrolet camaro LT Convertible 2D,179K miles,"$10,500","Seminary, MS",www.facebook.com/marketplace/item/588667076210640/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A0865c944-661a-4d9a-8dbe-b45648d078e1&__tn__=!%3AD,2023-02-27
2004 Mercury sable GS Sedan 4D,65K miles,"$1,350","Wiggins, MS",www.facebook.com/marketplace/item/2261692334002573/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A0865c944-661a-4d9a-8dbe-b45648d078e1&__tn__=!%3AD,2023-02-27
1997 Ford f-150 Long Bed,185K miles,"$1,000","Seminary, MS",www.facebook.com/marketplace/item/724963375829668/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A0865c944-661a-4d9a-8dbe-b45648d078e1&__tn__=!%3AD,2023-02-27
2016 Nissan sentra,110K miles,"$8,500","Hattiesburg, MS",www.facebook.com/marketplace/item/1634264733687728/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A0865c944-661a-4d9a-8dbe-b45648d078e1&__tn__=!%3AD,2023-02-27
2004 Chevrolet tahoe LT Sport Utility 4D,1.2K miles,"$1,234","Petal, MS",www.facebook.com/marketplace/item/1354111505420953/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A0865c944-661a-4d9a-8dbe-b45648d078e1&__tn__=!%3AD,2023-02-27
2014 Dodge charger SRT8 Sedan 4D,182K miles,"$4,500","Columbia, MS",www.facebook.com/marketplace/item/700189901601383/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A0865c944-661a-4d9a-8dbe-b45648d078e1&__tn__=!%3AD,2023-02-27
2004 Chevrolet tahoe LS Sport Utility 4D,300K miles,"$2,500","Hattiesburg, MS",www.facebook.com/marketplace/item/844548590181795/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A0865c944-661a-4d9a-8dbe-b45648d078e1&__tn__=!%3AD,2023-02-27
2003 Buick century,21K miles,"$2,500","Petal, MS",www.facebook.com/marketplace/item/142767595045211/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A0865c944-661a-4d9a-8dbe-b45648d078e1&__tn__=!%3AD,2023-02-27
2013 Volvo s60 T5 Platinum Sedan 4D,171K miles,"$3,000","Petal, MS",www.facebook.com/marketplace/item/603953744875046/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A0865c944-661a-4d9a-8dbe-b45648d078e1&__tn__=!%3AD,2023-02-27
2013 Dodge charger SXT Sedan 4D,90K miles,"$4,000","Hattiesburg, MS",www.facebook.com/marketplace/item/909054150223726/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A0865c944-661a-4d9a-8dbe-b45648d078e1&__tn__=!%3AD,2023-02-27
2007 Toyota camry LE Sedan 4D,289K miles,"$5,900","Moselle, MS",www.facebook.com/marketplace/item/1540583053101234/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A0865c944-661a-4d9a-8dbe-b45648d078e1&__tn__=!%3AD,2023-02-27
2007 BMW i,180K miles,"$4,000","Hattiesburg, MS",www.facebook.com/marketplace/item/718394582733520/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A0865c944-661a-4d9a-8dbe-b45648d078e1&__tn__=!%3AD,2023-02-27
Dodge Avenger,,"$4,000","Hattiesburg, MS",www.facebook.com/marketplace/item/1236868843595816/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A0865c944-661a-4d9a-8dbe-b45648d078e1&__tn__=!%3AD,2023-02-27
2007 Toyota avalon Limited Sedan 4D,179K miles,"$5,850","Hattiesburg, MS",www.facebook.com/marketplace/item/499013662409473/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A0865c944-661a-4d9a-8dbe-b45648d078e1&__tn__=!%3AD,2023-02-27
1998 Jaguar xj,200K miles,"$3,800","Hattiesburg, MS",www.facebook.com/marketplace/item/1082078086528090/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A0865c944-661a-4d9a-8dbe-b45648d078e1&__tn__=!%3AD,2023-02-27
1977 Chevrolet camaro Coupe 2D,3K miles,"$1,500","Foxworth, MS",www.facebook.com/marketplace/item/719942609707406/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A0865c944-661a-4d9a-8dbe-b45648d078e1&__tn__=!%3AD,2023-02-27
2015 Chevrolet impala LT CNG Sedan 4D,121K miles,"$5,500","Wiggins, MS",www.facebook.com/marketplace/item/900454331132537/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A0865c944-661a-4d9a-8dbe-b45648d078e1&__tn__=!%3AD,2023-02-27
1991 Ford taurus,200K miles,"$1,200","Collins, MS",www.facebook.com/marketplace/item/1238297183750986/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A0865c944-661a-4d9a-8dbe-b45648d078e1&__tn__=!%3AD,2023-02-27
1992 Pontiac firebird,30K miles,"$2,000","Wiggins, MS",www.facebook.com/marketplace/item/2138430029692121/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A0865c944-661a-4d9a-8dbe-b45648d078e1&__tn__=!%3AD,2023-02-27
Altima,,"$1,234","Neely, MS",www.facebook.com/marketplace/item/733810124908028/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A0865c944-661a-4d9a-8dbe-b45648d078e1&__tn__=!%3AD,2023-02-27
2013 Chevrolet cruze,140K miles,"$6,500","Hattiesburg, MS",www.facebook.com/marketplace/item/924329388593424/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A0865c944-661a-4d9a-8dbe-b45648d078e1&__tn__=!%3AD,2023-02-27
2009 Honda civic Hybrid Sedan 4D,26K miles,"$4,000","Seminary, MS",www.facebook.com/marketplace/item/709632134223258/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A0865c944-661a-4d9a-8dbe-b45648d078e1&__tn__=!%3AD,2023-02-27
2002 Ford f-150 Short Bed 4D,200K miles,"$1,000","Hattiesburg, MS",www.facebook.com/marketplace/item/717632293216356/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A0865c944-661a-4d9a-8dbe-b45648d078e1&__tn__=!%3AD,2023-02-27
2004 Volkswagen jetta GL Sedan 4D,12K miles,"$1,100","Laurel, MS",www.facebook.com/marketplace/item/1729693220724299/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A0865c944-661a-4d9a-8dbe-b45648d078e1&__tn__=!%3AD,2023-02-27
2005 Chevrolet malibu,52K miles,$700,"Laurel, MS",www.facebook.com/marketplace/item/595177795881630/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A0865c944-661a-4d9a-8dbe-b45648d078e1&__tn__=!%3AD,2023-02-27
2005 Buick lacrosse,164K miles,"$2,800","Ellisville, MS",www.facebook.com/marketplace/item/817516093007929/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A0865c944-661a-4d9a-8dbe-b45648d078e1&__tn__=!%3AD,2023-02-27
2007 Buick lucerne CXL Sedan 4D,140K miles,"$2,300","Hattiesburg, MS",www.facebook.com/marketplace/item/564589385266844/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A0865c944-661a-4d9a-8dbe-b45648d078e1&__tn__=!%3AD,2023-02-27
2008 Nissan altima 2.5 S Sedan 4D,260K miles,$750,"Poplarville, MS",www.facebook.com/marketplace/item/723250582256424/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A0865c944-661a-4d9a-8dbe-b45648d078e1&__tn__=!%3AD,2023-02-27
2014 Audi a5 Premium Plus Coupe 2D,171K miles,"$9,900","Hattiesburg, MS",www.facebook.com/marketplace/item/710848587440085/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A0865c944-661a-4d9a-8dbe-b45648d078e1&__tn__=!%3AD,2023-02-27
PARTS ONLY!!!!,,"$1,147","Petal, MS",www.facebook.com/marketplace/item/882289586448066/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A0865c944-661a-4d9a-8dbe-b45648d078e1&__tn__=!%3AD,2023-02-27
2006 Toyota avalon Limited Sedan 4D,255K miles,"$2,250","Hattiesburg, MS",www.facebook.com/marketplace/item/560042665970633/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A0865c944-661a-4d9a-8dbe-b45648d078e1&__tn__=!%3AD,2023-02-27
2005 Cadillac sts Sedan 4D,229K miles,"$1,500","Columbia, MS",www.facebook.com/marketplace/item/3359792474348763/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A0865c944-661a-4d9a-8dbe-b45648d078e1&__tn__=!%3AD,2023-02-27
2002 Ford mustang Coupe 2D,200K miles,"$1,455","Hattiesburg, MS",www.facebook.com/marketplace/item/693442095787479/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A0865c944-661a-4d9a-8dbe-b45648d078e1&__tn__=!%3AD,2023-02-27
2007 Chevrolet impala LT Sedan 4D,120K miles,$800,"Hattiesburg, MS",www.facebook.com/marketplace/item/444072131238770/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A0865c944-661a-4d9a-8dbe-b45648d078e1&__tn__=!%3AD,2023-02-27
2003 Honda accord EX Sedan 4D,215K miles,"$4,000","Petal, MS",www.facebook.com/marketplace/item/1142585866411882/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A0865c944-661a-4d9a-8dbe-b45648d078e1&__tn__=!%3AD,2023-02-27
2006 Mazda mazda6 i Sport Sedan 4D,115K miles,$700,"Bogalusa, LA",www.facebook.com/marketplace/item/833483001078745/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A0865c944-661a-4d9a-8dbe-b45648d078e1&__tn__=!%3AD,2023-02-27
2003 Honda accord EX Sedan 4D,250K miles,"$2,500","D'Iberville, MS",www.facebook.com/marketplace/item/730166274632472/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A0865c944-661a-4d9a-8dbe-b45648d078e1&__tn__=!%3AD,2023-02-27
2006 Hyundai elantra,139K miles,"$2,500","Montgomery, AL",www.facebook.com/marketplace/item/551301277054802/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A0865c944-661a-4d9a-8dbe-b45648d078e1&__tn__=!%3AD,2023-02-27
2011 Nissan altima 2.5 S Sedan 4D,171K miles,"$3,200","Bogalusa, LA",www.facebook.com/marketplace/item/563932985091979/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A0865c944-661a-4d9a-8dbe-b45648d078e1&__tn__=!%3AD,2023-02-27
2008 Honda accord EX-L Sedan 4D,167K miles,"$4,800","Daphne, AL",www.facebook.com/marketplace/item/1400198510729593/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A0865c944-661a-4d9a-8dbe-b45648d078e1&__tn__=!%3AD,2023-02-27
2012 Nissan altima 2.5 S Sedan 4D,133K miles,"$5,500","Baton Rouge, LA",www.facebook.com/marketplace/item/674530034469374/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A0865c944-661a-4d9a-8dbe-b45648d078e1&__tn__=!%3AD,2023-02-27
2003 Honda accord EX-L Sedan 4D,154K miles,"$5,000","Mobile, AL",www.facebook.com/marketplace/item/852009619497213/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A0865c944-661a-4d9a-8dbe-b45648d078e1&__tn__=!%3AD,2023-02-27
2008 Nissan altima 2.5 S Sedan 4D,84K miles · Dealership,"$3,299","Baton Rouge, LA",www.facebook.com/marketplace/item/1302320700509846/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A0865c944-661a-4d9a-8dbe-b45648d078e1&__tn__=!%3AD,2023-02-27
2007 Honda accord SE Sedan 4D,170K miles,"$4,500","Ridgeland, MS",www.facebook.com/marketplace/item/3199970873647819/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A0865c944-661a-4d9a-8dbe-b45648d078e1&__tn__=!%3AD,2023-02-27
Car cars cars,,"$1,000","Shannon, MS",www.facebook.com/marketplace/item/1158505961524536/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A0865c944-661a-4d9a-8dbe-b45648d078e1&__tn__=!%3AD,2023-02-27
2004 Chrysler sebring Convertible 2D,1.3K miles,"$2,200","Starkville, MS",www.facebook.com/marketplace/item/6182414538488594/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A0865c944-661a-4d9a-8dbe-b45648d078e1&__tn__=!%3AD,2023-02-27
2015 Nissan sentra SV Sedan 4D,159K miles,"$5,000","Grand Bay, AL",www.facebook.com/marketplace/item/836905017591131/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A0865c944-661a-4d9a-8dbe-b45648d078e1&__tn__=!%3AD,2023-02-27
2009 Nissan altima,210K miles,"$1,800","Pontotoc, MS",www.facebook.com/marketplace/item/766049074701199/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A0865c944-661a-4d9a-8dbe-b45648d078e1&__tn__=!%3AD,2023-02-27
2010 Honda accord,110K miles,"$7,000","Aberdeen, MS",www.facebook.com/marketplace/item/695267558927941/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A0865c944-661a-4d9a-8dbe-b45648d078e1&__tn__=!%3AD,2023-02-27
2019 Chevrolet malibu LT Sedan 4D,60K miles,"$1,800","Houma, LA",www.facebook.com/marketplace/item/870970927430879/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A0865c944-661a-4d9a-8dbe-b45648d078e1&__tn__=!%3AD,2023-02-27
2011 Nissan altima 2.5 S Sedan 4D,133K miles,"$3,400","New Orleans, LA",www.facebook.com/marketplace/item/885017136175922/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A0865c944-661a-4d9a-8dbe-b45648d078e1&__tn__=!%3AD,2023-02-27
2008 Nissan altima 2.5 S Sedan 4D,127K miles · Dealership,"$4,995","Long Beach, MS",www.facebook.com/marketplace/item/660653375857030/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A0865c944-661a-4d9a-8dbe-b45648d078e1&__tn__=!%3AD,2023-02-27
2004 Nissan altima 2.5 Sedan 4D,230K miles,"$2,800","Gulfport, MS",www.facebook.com/marketplace/item/1612203009276073/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A0865c944-661a-4d9a-8dbe-b45648d078e1&__tn__=!%3AD,2023-02-27
